Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
Danilo Pereira;28;82;Portugal;Portugal;CDM;82;20000000;2024
J. Morris;28;66;England;Fleetwood Town;LW;66;650000;1867
A. Crawford;28;65;Scotland;Bolton Wanderers;CAM;65;525000;1849
S. Murray;26;62;Republic of Ireland;Dundalk;CAM;65;375000;1726
B. Stancu;33;73;Romania;Gençlerbirliği SK;ST;73;2500000;1857
A. Salvi;31;69;Italy;Frosinone;RB;69;750000;1907
C. Knasmüllner;28;70;Austria;SK Rapid Wien;RM;70;1800000;1853
S. Schipplock;31;66;Germany;DSC Arminia Bielefeld;ST;66;575000;1692
O. Banks;27;63;England;Tranmere Rovers;CM;63;375000;1799
Fran Cruz;28;66;Spain;Extremadura UD;CB;66;575000;1575
Lucas Moura;27;83;Brazil;Tottenham Hotspur;RM;83;27000000;2093
M. Könnecke;31;63;Germany;FSV Zwickau;RM;63;325000;1718
C. Hemlein;29;64;Germany;SV Meppen;RM;64;450000;1771
C. Mavrias;24;66;Greece;Hibernian;RM;72;875000;1738
André Martins;30;70;Portugal;Legia Warszawa;CAM;70;1600000;1927
S. Lawless;29;65;Scotland;Burton Albion;RM;65;525000;1820
N. Dumitru;28;67;Italy;Gaz Metan Mediaş;LM;67;775000;1757
Rafael Martins;28;74;Brazil;Vitória Guimarães;ST;74;6000000;1820
M. Schulze Niehues;30;65;Germany;SC Preußen Münster;GK;65;375000;1083
L. Teodorczyk;29;72;Poland;Udinese;ST;72;3100000;1725
O. Sorg;30;71;Germany;1. FC Nürnberg;RB;71;1900000;1870
K. Koulibaly;29;88;Senegal;Napoli;CB;88;50000000;1734
G. Bussmann;29;70;France;FC Erzgebirge Aue;LB;70;1500000;1819
L. Carole;29;72;France;RC Strasbourg Alsace;LWB;72;2600000;1831
D. Sidibé;27;78;France;AS Monaco;RB;78;9000000;2060
B. Dejaegere;29;71;Belgium;Toulouse Football Club;CM;71;2300000;1992
R. Saponara;28;75;Italy;Fiorentina;CAM;75;6500000;1813
L. Tonelli;30;74;Italy;Sampdoria;CB;74;4600000;1591
T. Guerabis;18;53;France;AC Ajaccio;ST;62;0;1336
E. Manu;25;67;Netherlands;Beijing Renhe FC;ST;68;900000;1745
D. Kaiser;31;72;Germany;Hannover 96;CM;72;2700000;1990
T. Kern;30;65;Germany;Bayern München II;CAM;65;500000;1817
N. De Préville;29;75;France;FC Girondins de Bordeaux;CF;75;6500000;1958
J. Massengo;22;58;France;FC Istres Ouest Provence;CAM;70;250000;1633
B. Kopacz;28;67;Poland;Lechia Gdańsk;CB;68;750000;1569
J. Szumski;28;66;Poland;Raków Częstochowa;GK;69;575000;1000
M. Kucharczyk;29;67;Poland;Pogoń Szczecin;RM;67;750000;1787
R. Dow;26;64;Scotland;Ross County FC;RM;65;525000;1662
S. Allan;28;69;Scotland;Hibernian;CAM;69;1100000;1833
N. Powell;26;71;England;Stoke City;CAM;74;2900000;1857
A. Marchesín;32;82;Argentina;Argentina;GK;82;13500000;1374
J. Cassidy;26;60;Wales;Stevenage;ST;61;250000;1616
J. Słowik;28;67;Poland;Vegalta Sendai;GK;69;675000;1002
B. Pawłowski;27;70;Poland;Śląsk Wrocław;RM;70;1900000;1757
Cédric B;28;76;Portugal;Arsenal;RB;76;6500000;2042
Ismaily;30;81;Brazil;Shakhtar Donetsk;LB;81;14000000;2065
T. Kalas;27;71;Czech Republic;Bristol City;CB;74;2600000;1722
T. Přikryl;27;70;Czech Republic;Jagiellonia Białystok;RM;70;1900000;1754
R. Janicki;27;64;Poland;Wisła Kraków;CB;65;450000;1571
M. Colin;28;73;France;Birmingham City;RB;73;3400000;1827
I. Strinić;31;73;Croatia;Milan;LB;73;2900000;1916
A. Mandi;28;79;Algeria;Real Betis;CB;80;12500000;1973
M. Badelj;31;76;Croatia;Genoa;CDM;76;6000000;1958
M. Le Bihan;30;70;France;AJ Auxerre;ST;70;1700000;1791
Morata;27;82;Spain;Juventus;ST;83;26000000;1926
R. Morrison;27;72;England;ADO Den Haag;CAM;72;3300000;1859
M. Frydrych;30;71;Czech Republic;Wisła Kraków;CB;71;1900000;1780
S. Bryzgalov;24;70;Russia;FC Anzhi Makhachkala;CB;74;2000000;1686
A. Donnarumma;29;66;Italy;Milan;GK;66;450000;952
D. Henry;27;70;Canada;Canada;CB;73;1900000;1650
L. Krejčí;27;72;Czech Republic;Sparta Praha;CAM;72;2800000;2033
L. Memushaj;32;72;Albania;Pescara;CM;72;2400000;1953
A. Acquah;28;72;Ghana;Yeni Malatyaspor;CDM;72;3100000;2011
T. Barkhuizen;26;72;England;Preston North End;RM;72;3300000;1817
T. Moulin;28;71;France;MKE Ankaragücü;CM;71;1900000;1970
M. Ďuriš;28;70;Slovakia;FC Orenburg;ST;70;1400000;1829
V. Darida;29;77;Czech Republic;Hertha BSC;CM;77;8500000;2095
N. Helenius;29;66;Denmark;Aarhus GF;ST;66;650000;1604
K. Kusk;28;71;Denmark;Aalborg BK;RW;71;2400000;1832
F. Rønnow;27;76;Denmark;Eintracht Frankfurt;GK;78;6500000;1130
J. Ankersen;28;69;Denmark;Aarhus GF;LW;69;1100000;1823
M. Nielsen;29;64;Denmark;Randers FC;CB;64;375000;1581
E. Montaño;29;65;Ecuador;Independiente del Valle;ST;65;550000;1549
C. Gytkjær;30;73;Denmark;AC Monza;ST;73;3900000;1797
R. Žulj;28;71;Austria;VfL Bochum 1848;CAM;71;2400000;1816
N. Leali;26;70;Italy;Ascoli;GK;73;1600000;1076
D. Høegh;28;67;Denmark;SC Heerenveen;CB;67;675000;1516
N. Hasselbaink;25;68;Suriname;Excelsior;RM;70;1100000;1771
R. Falk;28;76;Denmark;FC København;RM;76;7500000;2048
B. Kadrii;28;71;Denmark;Al Fateh;ST;71;2400000;1959
Gabriel Paulista;29;82;Brazil;Valencia CF;CB;83;21000000;1976
C. Ciano;29;73;Italy;Frosinone;LW;73;4000000;1863
Pablo;29;78;Brazil;FC Girondins de Bordeaux;CB;79;10000000;1799
C. Tătărușanu;34;78;Romania;Milan;GK;78;4500000;1244
G. Torje;28;72;Romania;Sivasspor;RW;72;3100000;1898
F. Santander;29;72;Paraguay;Bologna;ST;72;3100000;1796
F. Sørensen;28;71;Denmark;1. FC Köln;CB;73;2400000;1625
L. Boyce;29;66;Northern Ireland;Northern Ireland;ST;66;0;1724
A. Iacobucci;28;67;Italy;Frosinone;GK;67;550000;1151
M. Abu;28;66;Ghana;DC United;CDM;67;650000;1814
Ryder Matos;27;70;Brazil;Udinese;RW;70;1900000;1761
K. McLean;28;72;Scotland;Norwich City;CM;72;3100000;1953
Fernández B;28;68;Spain;Córdoba CF;RB;68;700000;1746
J. Murillo;28;77;Colombia;RC Celta;CB;79;9000000;1829
Samu García;28;71;Spain;Levante UD;CAM;71;2400000;1746
C. Biraghi;27;75;Italy;Fiorentina;LM;75;7000000;2030
A. Romanò;19;57;Italy;Crotone;RM;77;110000;1566
M. Icardi;27;85;Argentina;Paris Saint-Germain;ST;86;45000000;1946
Rafinha;27;79;Brazil;FC Barcelona;CAM;80;14000000;2077
Álvaro Vázquez;29;68;Spain;Real Sporting de Gijón;ST;68;900000;1785
M. Doherty;28;81;Republic of Ireland;Tottenham Hotspur;RWB;81;15000000;2044
H. Van Der Bruggen;27;72;Belgium;KV Kortrijk;CM;74;3300000;1923
G. Moncur;26;66;England;Luton Town;CAM;67;750000;1751
S. Lletget;27;70;United States;LA Galaxy;RM;70;1800000;1876
V. Roberge;28;69;France;Sunderland;CB;69;800000;1609
D. Poloz;25;76;Russia;Zenit St. Petersburg;CAM;76;8500000;1881
F. Ghoulam;29;79;Algeria;Napoli;LB;79;10500000;2071
G. Kondogbia;27;79;Central African Republic;Valencia CF;CM;80;14000000;2144
P. McEleney;27;66;Republic of Ireland;Dundalk;CAM;66;675000;1815
D. Lafferty;31;64;Northern Ireland;Shamrock Rovers;LB;64;325000;1713
David López;30;76;Spain;RCD Espanyol;CB;76;6500000;1871
G. Ramírez;29;77;Uruguay;Sampdoria;CAM;77;8500000;1915
Juankar;30;71;Spain;Panathinaikos FC;LB;71;1900000;1926
L. Kurzawa;27;77;France;Paris Saint-Germain;LB;77;8000000;2050
P. Sagna;29;68;Senegal;Santa Clara;RB;68;750000;1760
E. Kachunga;28;70;DR Congo;Sheffield Wednesday;RM;70;1800000;1833
J. Veretout;27;79;France;Roma;CM;81;13500000;2148
S. Zellner;29;64;Germany;1. FC Saarbrücken;CB;64;375000;1766
M. Deplagne;28;69;France;FC Cincinnati;CB;69;900000;1653
U. Bech;27;69;Denmark;Panathinaikos FC;LW;69;1100000;1679
R. Laursen;28;66;Denmark;Odense Boldklub;RB;66;550000;1588
Kim Young Gwon;30;71;Korea Republic;Gamba Osaka;CB;71;1900000;1814
M. Capuano;27;72;Italy;Frosinone;CB;72;2800000;1609
B. Martella;27;71;Italy;Brescia;LB;71;2100000;1864
P. Ntep;27;71;Cameroon;En Avant de Guingamp;LM;71;2500000;1748
R. Varane;27;86;France;Real Madrid;CB;88;46500000;1933
M. Mendler;27;63;Germany;1. FC Saarbrücken;LM;63;375000;1632
N. Nikolić;32;71;Hungary;Hungary;ST;71;0;1766
B. Baráth;28;69;Hungary;Hungary;CB;69;0;1660
C. Quintero;31;68;Colombia;Deportivo Pasto;RW;68;775000;1834
M. Pátkai;32;70;Hungary;Hungary;CDM;70;0;1863
K. Simon;29;66;Hungary;Hungary;RM;66;0;1617
J. Riedel;28;65;Germany;FC Hansa Rostock;CB;65;475000;1637
A. Musa;27;73;Nigeria;Al Nassr;LM;73;4200000;1796
N. Sansone;28;76;Italy;Bologna;CAM;76;8000000;1960
E. Bičakčić;30;76;Bosnia Herzegovina;TSG 1899 Hoffenheim;CB;76;6000000;1658
M. Rojo;30;75;Argentina;Manchester United;CB;75;5500000;1935
E. Gage;19;59;Canada;Reading;CB;65;0;1473
R. Teibert;27;66;Canada;Vancouver Whitecaps FC;CDM;66;650000;1776
J. Bendik;31;65;United States;Philadelphia Union;GK;65;350000;998
J. Attinella;31;67;United States;Portland Timbers;GK;67;500000;1218
O. Omoijuanfo;26;70;Norway;Molde FK;ST;73;2200000;1856
M. Dæhli;25;72;Norway;KRC Genk;CAM;75;3900000;1661
V. Eysseric;28;73;France;Fiorentina;CAM;73;4000000;1864
R. Brady;28;75;Republic of Ireland;Burnley;LM;75;6500000;2041
D. Johnson;27;74;Jamaica;Preston North End;CAM;75;6500000;1959
V. Berisha;26;69;Norway;Viking FK;ST;70;1300000;1852
Negueba;27;71;Brazil;Gyeongnam FC;RM;71;2500000;1779
Recio;29;74;Spain;SD Eibar;CM;74;5500000;1931
D. Fagundez;25;69;Uruguay;New England Revolution;RM;73;1400000;1800
C. Winchester;27;65;Northern Ireland;Forest Green Rovers;RM;66;600000;1849
A. Wisdom;27;71;England;Derby County;CB;72;2400000;1691
W. Keane;26;66;England;Ipswich Town;ST;67;775000;1656
M. Camporese;27;71;Italy;Pordenone;CB;71;2200000;1467
Victor Hugo;19;66;Brazil;Santos;RW;75;0;1674
N. Ajose;28;62;England;Exeter City;ST;62;325000;1645
M. Hinteregger;27;80;Austria;Eintracht Frankfurt;CB;82;15500000;2056
Y. Qasmi;29;65;Morocco;Rayo Vallecano;ST;65;550000;1591
K. Kraus;27;65;Germany;1. FC Kaiserslautern;CB;65;500000;1445
C. Harriott;26;64;Guyana;Colchester United;LW;65;525000;1641
Gabriel;27;76;Brazil;Lecce;GK;79;7000000;1184
Kim Jin Hyeon;32;73;Korea Republic;Cerezo Osaka;GK;73;2400000;1175
A. Limbombe;25;73;Belgium;FC Nantes;LM;74;4800000;1930
C. Piccini;27;76;Italy;Atalanta;RB;76;7000000;1832
Roberto Firmino;28;87;Brazil;Liverpool;CF;87;52000000;2208
A. Cornelius;27;75;Denmark;Parma;ST;76;8000000;1759
J. Sánchez Miño;30;75;Argentina;Elche CF;CM;75;5500000;2092
M. Haïdara;27;70;Mali;Racing Club de Lens;LWB;71;1800000;1838
S. Sané;29;79;Senegal;FC Schalke 04;CB;79;10500000;1808
E. Ebanks-Landell;27;65;England;Shrewsbury;CB;66;550000;1549
S. Thern;27;69;Sweden;IFK Norrköping;CAM;69;1100000;1899
A. Søderlund;32;70;Norway;BK Häcken;ST;70;1400000;1765
G. Wikheim;27;70;Norway;Al Fateh;LM;70;1900000;1754
A. Ienaga;34;73;Japan;Kawasaki Frontale;RM;73;2000000;1867
A. Gomis;26;76;Senegal;Stade Rennais FC;GK;78;6500000;1244
P. Parzyszek;26;68;Poland;Piast Gliwice;ST;69;1100000;1629
J. Schmid  B;30;77;France;SC Freiburg;RB;77;7000000;2077
Regalón;33;64;Spain;C.D. Castellón;CB;64;210000;1624
F. Fernández;31;77;Argentina;Newcastle United;CB;77;6500000;1607
Saborit;25;73;Spain;Athletic Club de Bilbao;LB;76;4100000;1833
Felipe Anderson;27;81;Brazil;West Ham United;LM;81;18500000;2024
J. Flanagan;26;66;England;Rangers FC;CB;67;650000;1663
L. Landre;28;71;France;Nîmes Olympique;CB;73;2400000;1615
O. Hernández;27;73;Germany;Norwich City;RW;73;4200000;1789
R. Freuler;28;78;Switzerland;Atalanta;CM;78;10500000;2016
S. McLaughlin;30;64;Republic of Ireland;Mansfield Town;RM;64;425000;1692
N. Benezet;29;72;France;Colorado Rapids;LM;72;3000000;1791
K. Holmberg;27;68;Sweden;Djurgårdens IF;ST;69;1000000;1772
C. Coady;27;79;England;Wolverhampton Wanderers;CDM;81;13000000;1934
T. Bruns;28;66;Netherlands;Vitesse;CM;66;650000;1882
B. Afobe;27;70;DR Congo;Trabzonspor;ST;71;2100000;1727
R. Miyaichi;27;69;Japan;FC St. Pauli;RM;69;1100000;1637
Naldo;31;74;Brazil;Antalyaspor;CB;74;4200000;1532
S. Anđelković;32;74;Slovenia;Padova;CB;74;3200000;1603
E. Bergström;27;68;Sweden;FC Utrecht;CB;70;950000;1547
J. Kurtić;31;74;Slovenia;Parma;CM;74;4800000;2021
E. Zavaleta;27;65;United States;Toronto FC;CB;66;550000;1667
Z. Valentin;28;71;Puerto Rico;Houston Dynamo;RB;71;2000000;1787
D. Nagbe;29;75;United States;Columbus Crew SC;CAM;75;6500000;2010
J. Geis;26;73;Germany;1. FC Nürnberg;CDM;75;4300000;2034
F. Klaus;27;74;Germany;VfL Wolfsburg;RM;74;6000000;1834
L. Mejía;29;76;Panama;Nacional de Montevideo;GK;78;6500000;1355
V. Klonaridis;26;69;Belgium;AEK Athens;RM;69;1100000;1816
O. John;28;71;Netherlands;Vitória Guimarães;LW;71;2400000;1744
D. Biton;25;67;Israel;AD Alcorcón;ST;69;675000;1613
M. Knoll;29;70;Germany;FC St. Pauli;CB;70;1500000;1956
A. Morales;30;72;United States;Fortuna Düsseldorf;CDM;72;2600000;1915
M. Odubajo;26;69;England;Sheffield Wednesday;RWB;70;1100000;1844
M. Ostrzolek;29;69;Germany;Hannover 96;LB;69;875000;1841
M. Haakenstad;26;63;Norway;Sandefjord Fotball;RWB;65;400000;1665
C. Aneke;26;67;England;Charlton Athletic;ST;68;900000;1796
H. Kane;26;88;England;Tottenham Hotspur;ST;89;71000000;2172
N. Ralph;27;63;England;Southend United;LB;63;325000;1671
J. Cousins;26;66;England;Stoke City;CDM;68;700000;1778
S. Sturaro;27;72;Italy;Genoa;CB;73;3500000;2041
W. Chalá;28;66;Ecuador;Universidad Católica del Ecuador;ST;66;675000;1693
E. Kaçe;25;70;Albania;PAOK;CDM;73;2200000;1970
K. Stafylidis;26;74;Greece;TSG 1899 Hoffenheim;LB;74;5000000;1999
A. Behich;29;72;Australia;Medipol Başakşehir FK;LB;72;2600000;1950
J. Anibaba;31;67;United States;Nashville SC;CB;67;575000;1659
P. Kitchen;28;65;United States;LA Galaxy;CB;66;525000;1749
J. Draxler;26;80;Germany;Paris Saint-Germain;CAM;81;17500000;2059
J. Gatt;28;62;United States;Dundalk;RW;62;325000;1671
M. Boxall;31;68;New Zealand;Minnesota United FC;CB;68;675000;1688
J. Williams;32;66;United States;Columbus Crew SC;CB;66;425000;1691
L. McAlinden;26;60;Republic of Ireland;Morecambe;ST;61;250000;1475
R. Riski;30;66;Finland;HJK Helsinki;RW;66;600000;1797
J. Plata;28;71;Ecuador;Deportivo Toluca;LW;71;2400000;1874
J. Slew;27;58;England;Morecambe;ST;58;140000;1486
G. Long;26;68;England;Hull City;GK;71;800000;1123
J. Gouweleeuw;28;76;Netherlands;FC Augsburg;CB;76;7000000;1913
G. Ivanov;32;65;Bulgaria;Bulgaria;CAM;65;0;1698
C. Sapong;31;70;United States;Chicago Fire;ST;70;1600000;1808
J. Meram;31;69;Iraq;Real Salt Lake;LM;69;925000;1888
B. Añor;32;59;Venezuela;Caracas FC;LB;59;100000;1577
H. Jimenez;31;68;United States;Columbus Crew SC;LB;68;650000;1884
S. Carrasco;30;64;United States;LA Galaxy;CDM;64;375000;1758
B. Meredith;30;61;United States;Vancouver Whitecaps FC;GK;61;170000;1124
M. Ødegaard;27;65;Norway;Sarpsborg 08 FF;CB;68;575000;1488
A. Gogia;28;69;Germany;1. FC Union Berlin;RW;69;1100000;1763
S. Zoller;29;69;Germany;VfL Bochum 1848;RM;69;1000000;1769
S. Armstrong;28;76;Scotland;Southampton;RM;76;8000000;2068
Kim Soo Beom B;29;64;Korea Republic;Gangwon FC;LWB;64;375000;1796
Im Seon Yeong;32;66;Korea Republic;Seongnam FC;CM;66;475000;1850
Lee Seung Gi;32;70;Korea Republic;Jeonbuk Hyundai Motors;CAM;70;1300000;1900
T. Chandler;30;74;United States;Eintracht Frankfurt;CB;74;5500000;2031
D. Demme;28;78;Germany;Napoli;CDM;79;10500000;1953
A. Diaby;29;75;Mali;Sporting CP;RM;75;6500000;1923
F. Quignon;27;73;Argentina;Club Atlético Lanús;CDM;74;4100000;1969
E. Dier;26;78;England;Tottenham Hotspur;CB;82;12000000;1973
T. Meunier;28;81;Belgium;Borussia Dortmund;RB;81;15000000;2132
D. Offenbacher;28;63;Austria;SV Ried;CAM;63;375000;1863
J. Zongo;27;68;Burkina Faso;UD Almería;ST;68;850000;1809
A. Flint;30;71;England;Cardiff City;CB;71;1900000;1512
A. Woodyard;27;65;England;AFC Wimbledon;CDM;66;600000;1826
B. Wood;27;67;United States;Hamburger SV;ST;68;900000;1749
D. da Costa;26;78;Germany;Eintracht Frankfurt;RWB;79;10500000;1992
Rildo;29;71;Brazil;Daegu FC;LM;71;2300000;1754
Rodrigo Ely;26;75;Brazil;Deportivo Alavés;CB;79;7500000;1496
J. Verhoek;31;64;Netherlands;FC Hansa Rostock;ST;64;400000;1604
L. Koopmans;26;67;Netherlands;ADO Den Haag;GK;69;675000;1122
N. Foor;27;70;Netherlands;Vitesse;LW;70;1800000;1941
J. Drost;27;65;Netherlands;PEC Zwolle;LM;66;625000;1771
J. Clark;26;67;England;Luton Town;RM;67;825000;1776
R. Towell;28;65;Republic of Ireland;Salford City;CM;65;525000;1847
D. Bingham;30;70;United States;LA Galaxy;GK;70;1200000;1169
Javier Espinosa;26;70;Spain;FC Twente;CAM;71;2100000;1753
Deulofeu;26;80;Spain;Watford;RW;81;17500000;1945
D. Bisoli;26;71;Italy;Brescia;CAM;73;2800000;1979
T. Carroll;28;69;England;Queens Park Rangers;CM;69;1000000;1783
J. Lindner;29;63;Sweden;Varbergs BoIS;CB;63;300000;1580
Aleix Vidal;30;77;Spain;Sevilla FC;RM;77;8500000;2024
David Juncà;26;72;Spain;RC Celta;LB;75;3400000;1838
F. Hartherz;27;70;Germany;Fortuna Düsseldorf;LB;71;1800000;1870
Jesé;27;72;Spain;Paris Saint-Germain;RW;72;3300000;1749
A. Vellios;26;66;Greece;Waasland-Beveren;ST;67;775000;1618
Borja Granero;29;67;Spain;Extremadura UD;CB;67;650000;1763
S. May;27;65;Scotland;St. Johnstone FC;ST;66;625000;1702
J. Ruffels;26;68;England;Oxford United;LB;69;925000;1755
T. Röcher;29;68;Austria;FC Ingolstadt 04;LW;68;900000;1696
L. Griffiths;29;72;Scotland;Celtic;ST;72;3100000;1843
E. Reijnen;32;68;Netherlands;PEC Zwolle;CB;68;575000;1510
Jota;29;72;Spain;Aston Villa;RW;72;3000000;1745
J. Bahebeck;26;70;France;FC Utrecht;ST;71;2100000;1826
P. Ulvestad;29;63;Norway;Kristiansund BK;CDM;63;325000;1622
M. Depay;26;85;Netherlands;Olympique Lyonnais;CAM;88;48500000;2095
Isma;28;67;Guinea Bissau;Matsumoto Yamaga;ST;67;800000;1639
P. Ceppelini;28;71;Uruguay;Cruz Azul;CAM;71;2400000;1830
J. Roussillon;27;80;France;VfL Wolfsburg;LB;81;14500000;2113
J. Maurer;31;65;United States;FC Dallas;GK;65;350000;1110
H. Abd Elhamed;29;71;Israel;Celtic;RB;71;2000000;1846
A. Milošević;28;68;Sweden;Vejle Boldklub;CB;69;875000;1661
V. Hladký;29;67;Czech Republic;Salford City;GK;68;625000;1248
P. McCallum;22;62;England;Leyton Orient;ST;65;375000;1511
R. Boateng;27;70;Ghana;AD Alcorcón;CM;70;1800000;1891
Fernando;28;79;Brazil;Beijing Sinobo Guoan FC;CDM;80;12500000;2092
Álex Martínez;29;74;Spain;Granada CF;LB;74;4600000;1919
Sergi Darder;26;77;Spain;RCD Espanyol;CM;79;10500000;1958
Suso;26;81;Spain;Sevilla FC;CAM;81;19000000;1934
R. Sterling;25;88;England;Manchester City;LW;90;72500000;2111
B. Gommert;35;56;Germany;VfB Lübeck;GK;56;25000;968
S. Lewerenz;29;65;Germany;Viktoria Köln;RW;65;525000;1625
D. Horgan;27;69;Republic of Ireland;Wycombe Wanderers;RW;69;1100000;1755
Danilo Avelar;28;73;Brazil;Amiens SC;LB;73;3200000;1926
A. Taggart;27;70;Australia;Australia;ST;70;1900000;1825
J. Risdon;27;72;Australia;Western United FC;RWB;72;2800000;1820
S. Zaza;29;77;Italy;Torino;ST;77;9000000;1983
N. Wells;30;72;Bermuda;Bristol City;ST;72;3000000;1864
M. Crooks;26;67;England;Rotherham United;CDM;70;925000;1832
J. Tarkowski;27;80;England;Burnley;CB;81;15000000;1862
J. Stephens;26;75;England;Southampton;CB;79;7500000;1772
Abdón Prats;27;68;Spain;RCD Mallorca;ST;69;1000000;1719
J. Lukoki;27;67;DR Congo;Yeni Malatyaspor;RM;67;800000;1591
T. Serero;30;72;South Africa;South Africa;CM;72;0;1834
Go Moo Yol;29;66;Korea Republic;Gangwon FC;LM;66;625000;1699
W. Boly;29;80;France;Wolverhampton Wanderers;CB;80;12500000;1768
C. Râpă;30;69;Romania;Cracovia;RB;69;825000;1775
B. Stokke;29;61;Norway;Vålerenga Fotball;ST;61;250000;1598
C. Ripley;27;66;England;Preston North End;GK;70;575000;1016
J. Newell;27;65;England;Hibernian;LM;66;600000;1833
G. Kristjánsson;27;62;Iceland;IK Start;CM;62;275000;1764
A. Schwolow;28;79;Germany;Hertha BSC;GK;80;10500000;1163
K. Ntlhe;26;64;South Africa;Barrow;LB;66;475000;1638
J. Graham;25;65;England;Gillingham;RM;68;675000;1614
Elton Monteiro;26;63;Portugal;FC Lausanne-Sport;CB;65;400000;1487
M. Angha;26;63;Switzerland;Fortuna Sittard;CB;66;400000;1643
Li Ke;27;67;China PR;China PR;CM;68;850000;1911
E. Martínez;27;78;Argentina;Aston Villa;GK;81;9000000;1401
N. Byrne B;28;70;England;Derby County;RB;70;1500000;1792
C. Forrester;27;60;Republic of Ireland;St. Patrick's Athletic;CM;61;230000;1715
B. Knott;24;62;England;Rochdale;CAM;67;400000;1719
C. Battocchio;28;70;Italy;Stade Brestois 29;CAM;70;1800000;1925
F. Viviani;28;70;Italy;SPAL;CM;71;1800000;1997
G. Caprari;26;74;Italy;Benevento;CAM;75;6500000;1736
J. Vestergaard;27;77;Denmark;Southampton;CB;78;9000000;1676
G. Defrel;29;76;France;Sassuolo;ST;76;7500000;1865
Tan Long;32;66;China PR;China PR;ST;66;0;1757
K. Bellarabi;30;82;Germany;Bayer 04 Leverkusen;RM;82;21000000;1986
F. Castillo;28;75;Colombia;Club Tijuana;RW;75;6500000;1920
N. Peñailillo;27;66;Chile;CD Antofagasta;LB;66;575000;1911
K. Müller;29;73;Germany;1. FC Heidenheim 1846;GK;73;2800000;1137
T. Bifouma;28;74;Congo;Shenzhen FC;RW;74;5500000;1839
L. Spinazzola;27;78;Italy;Roma;RWB;78;11000000;2057
B. Siegrist;28;65;Switzerland;Dundee United;GK;67;475000;1073
A. Öztürk;26;68;Turkey;Göztepe SK;CDM;71;1000000;1896
M. Ureña;30;66;Costa Rica;GwangJu FC;RW;66;625000;1735
C. Nyman;27;70;Sweden;IFK Norrköping;ST;71;2100000;1792
C. Kouakou;25;60;Sweden;IFK Göteborg;ST;63;275000;1461
J. Ericsson;26;64;Sweden;Falkenbergs FF;LWB;65;450000;1662
O. Onazi;26;75;Nigeria;Denizlispor;CDM;76;7000000;2070
Álvaro;30;79;Spain;Olympique de Marseille;CB;79;10000000;1774
N. Kebano;28;70;DR Congo;Fulham;LW;70;1800000;1811
O. Hiljemark;27;74;Sweden;Genoa;CM;75;6500000;1954
Yun Il Lok;28;70;Korea Republic;Montpellier HSC;LM;70;1800000;1790
Sin Se Gye;29;67;Korea Republic;Gangwon FC;RB;67;625000;1862
Kim Kee Hee;30;69;Korea Republic;Ulsan Hyundai FC;CB;69;850000;1711
Jeong Seong Min;31;59;Korea Republic;Busan IPark;ST;59;140000;1487
R. Knoche;28;76;Germany;1. FC Union Berlin;CB;78;8000000;1616
J. Day;29;65;England;Cardiff City;GK;65;375000;1138
Lucas Piazón;26;71;Brazil;Rio Ave FC;CAM;72;2800000;1768
J. Butland;27;73;England;Stoke City;GK;76;3500000;1322
M. O'Halloran;29;66;Scotland;St. Johnstone FC;RM;66;625000;1664
J. Riley;28;64;England;Mansfield Town;RWB;64;375000;1714
D. Castellanos;19;50;Mexico;Jaguares de Chiapas;ST;59;60000;1381
J. Vela;26;64;England;Shrewsbury;CDM;67;550000;1819
D. Chará;34;75;Colombia;Portland Timbers;CDM;75;2600000;1994
R. Tunnicliffe;27;65;England;Luton Town;CDM;66;600000;1796
R. Charles-Cook;25;60;England;Macclesfield Town;GK;63;190000;1123
S. Gannon;28;68;Republic of Ireland;Dundalk;RB;68;775000;1759
L. Bittencourt;26;77;Germany;SV Werder Bremen;RM;78;10500000;2018
T. Monconduit;29;72;France;FC Lorient;CDM;72;2700000;1897
R. Jansson;28;65;Sweden;Orlando City SC;CB;67;550000;1465
J. Scowen;27;68;England;Sunderland;CDM;70;950000;1852
A. Stewart;27;67;England;Wycombe Wanderers;CB;69;800000;1468
G. Taft;26;61;England;Bolton Wanderers;CB;62;250000;1500
T. Kister;33;66;Germany;SV Sandhausen;CB;66;300000;1315
M. Franke;27;70;Germany;Hannover 96;CB;73;1900000;1411
L. Burge;27;63;England;Sunderland;GK;66;325000;1096
K. Issah;24;67;Ghana;Gençlerbirliği SK;CDM;71;850000;1771
D. Foulquier;27;75;France;Granada CF;RM;75;7000000;1967
A. Salifu;26;68;Ghana;Fiorentina;CM;69;1000000;1873
Y. Songo'o;28;62;Cameroon;Morecambe;CB;63;300000;1611
A. Cairns;27;66;England;Fleetwood Town;GK;69;575000;1015
Héctor;28;68;Spain;CD Numancia;LB;68;775000;1799
C. Good;27;64;Australia;Melbourne City FC;CB;64;400000;1489
J. Jeggo;28;67;Australia;Australia;CDM;67;0;1815
Juninho;30;65;Brazil;Club Blooming;LB;65;425000;1468
Caio Secco;29;70;Brazil;Clube Sport Marítimo;GK;72;1500000;1169
J. Valencia;25;70;Ecuador;Legia Warszawa;RM;73;2200000;1781
H. Maguire;27;82;England;Manchester United;CB;85;24000000;1938
S. Wootton;28;65;England;Plymouth Argyle;CB;66;525000;1464
